frames_dir,transcript
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\pain\train\IMG_2564_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\pain\train\IMG_2565_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\pain\train\IMG_2566_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\pain\train\IMG_2567_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\pain\train\IMG_2568_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\pain\train\IMG_2569_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\water\train\IMG_2552_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\water\train\IMG_2553_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\water\train\IMG_2554_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\water\train\IMG_2555_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\water\train\IMG_2556_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\water\train\IMG_2557_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\water\train\IMG_2558_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\water\train\IMG_2559_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\yes\train\IMG_2526_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\yes\train\IMG_2527_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\yes\train\IMG_2528_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\yes\train\IMG_2529_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\yes\train\IMG_2530_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\yes\train\IMG_2531_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\yes\train\IMG_2532_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\yes\train\IMG_2533_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\help\train\IMG_2452_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\help\train\IMG_2453_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\help\train\IMG_2454_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\help\train\IMG_2455_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\help\train\IMG_2456_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\help\train\IMG_2457_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\help\train\IMG_2458_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\help\train\IMG_2459_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\no\train\IMG_2491_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\no\train\IMG_2492_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\no\train\IMG_2493_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\no\train\IMG_2494_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\no\train\IMG_2495_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\no\train\IMG_2496_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\no\train\IMG_2497_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\no\train\IMG_2498_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\pain\train\IMG_2452_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\pain\train\IMG_2453_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\pain\train\IMG_2454_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\pain\train\IMG_2455_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\pain\train\IMG_2456_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\pain\train\IMG_2457_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\pain\train\IMG_2458_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\pain\train\IMG_2459_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\water\train\IMG_2463_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\water\train\IMG_2464_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\water\train\IMG_2465_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\water\train\IMG_2466_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\water\train\IMG_2468_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\water\train\IMG_2469_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\water\train\IMG_2470_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\water\train\IMG_2471_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\yes\train\IMG_2478_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\yes\train\IMG_2479_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\yes\train\IMG_2480_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\yes\train\IMG_2481_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\yes\train\IMG_2482_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\yes\train\IMG_2483_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\yes\train\IMG_2484_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 11\yes\train\IMG_2485_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\help\train\IMG_6561_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\help\train\IMG_6562_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\help\train\IMG_6563_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\help\train\IMG_6564_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\help\train\IMG_6565_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\help\train\IMG_6566_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\help\train\IMG_6567_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\help\train\IMG_6568_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\no\train\IMG_6549_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\no\train\IMG_6550_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\no\train\IMG_6551_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\no\train\IMG_6552_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\no\train\IMG_6553_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\no\train\IMG_6554_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\no\train\IMG_6556_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\no\train\IMG_6557_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\pain\train\IMG_6583_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\pain\train\IMG_6585_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\pain\train\IMG_6586_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\pain\train\IMG_6587_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\pain\train\IMG_6588_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\pain\train\IMG_6590_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\pain\train\IMG_6591_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\pain\train\IMG_6593_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\water\train\IMG_6573_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\water\train\IMG_6574_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\water\train\IMG_6575_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\water\train\IMG_6576_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\water\train\IMG_6577_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\water\train\IMG_6578_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\water\train\IMG_6579_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\water\train\IMG_6580_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\yes\train\IMG_6538_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\yes\train\IMG_6540_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\yes\train\IMG_6541_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\yes\train\IMG_6542_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\yes\train\IMG_6543_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\yes\train\IMG_6544_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\yes\train\IMG_6545_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 2\yes\train\IMG_6546_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\help\train\IMG_9798_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\help\train\IMG_9800_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\help\train\IMG_9801_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\help\train\IMG_9802_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\help\train\IMG_9804_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\help\train\IMG_9806_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\help\train\IMG_9807_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\help\train\IMG_9808_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\no\train\IMG_9748_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\no\train\IMG_9749_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\no\train\IMG_9751_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\no\train\IMG_9753_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\no\train\IMG_9754_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\no\train\IMG_9755_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\no\train\IMG_9757_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\no\train\IMG_9758_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\pain\train\IMG_9765_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\pain\train\IMG_9766_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\pain\train\IMG_9769_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\pain\train\IMG_9770_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\pain\train\IMG_9771_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\pain\train\IMG_9773_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\pain\train\IMG_9776_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\pain\train\IMG_9779_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\water\train\IMG_9787_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\water\train\IMG_9789_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\water\train\IMG_9790_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\water\train\IMG_9791_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\water\train\IMG_9792_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\water\train\IMG_9793_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\water\train\IMG_9794_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\water\train\IMG_9795_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\yes\train\IMG_9731_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\yes\train\IMG_9732_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\yes\train\IMG_9733_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\yes\train\IMG_9734_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\yes\train\IMG_9735_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\yes\train\IMG_9736_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\yes\train\IMG_9738_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 3\yes\train\IMG_9741_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\help\train\IMG_9819_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\help\train\IMG_9821_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\help\train\IMG_9824_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\help\train\IMG_9826_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\help\train\IMG_9828_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\help\train\IMG_9832_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\help\train\IMG_9833_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\help\train\IMG_9834_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\no\train\IMG_9853_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\no\train\IMG_9854_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\no\train\IMG_9855_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\no\train\IMG_9856_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\no\train\IMG_9857_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\no\train\IMG_9858_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\no\train\IMG_9859_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\no\train\IMG_9860_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\pain\train\IMG_9865_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\pain\train\IMG_9866_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\pain\train\IMG_9867_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\pain\train\IMG_9868_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\pain\train\IMG_9869_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\pain\train\IMG_9870_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\pain\train\IMG_9873_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\pain\train\IMG_9877_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\water\train\IMG_9881_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\water\train\IMG_9882_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\water\train\IMG_9883_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\water\train\IMG_9887_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\water\train\IMG_9890_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\water\train\IMG_9891_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\water\train\IMG_9892_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\water\train\IMG_9894_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\yes\train\IMG_9839_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\yes\train\IMG_9840_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\yes\train\IMG_9841_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\yes\train\IMG_9842_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\yes\train\IMG_9844_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\yes\train\IMG_9845_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\yes\train\IMG_9846_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 4\yes\train\IMG_9847_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\help\train\IMG_2241_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\help\train\IMG_2242_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\help\train\IMG_2243_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\help\train\IMG_2244_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\help\train\IMG_2245_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\help\train\IMG_2246_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\help\train\IMG_2247_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\help\train\IMG_2251_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\no\train\IMG_2225_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\no\train\IMG_2226_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\no\train\IMG_2228_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\no\train\IMG_2229_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\no\train\IMG_2231_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\no\train\IMG_2232_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\no\train\IMG_2233_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\no\train\IMG_2234_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\pain\train\IMG_2186_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\pain\train\IMG_2188_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\pain\train\IMG_2189_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\pain\train\IMG_2190_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\pain\train\IMG_2191_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\pain\train\IMG_2192_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\pain\train\IMG_2193_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\pain\train\IMG_2195_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\water\train\IMG_2262_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\water\train\IMG_2263_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\water\train\IMG_2264_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 5\water\train\IMG_2265_MOV,water
